author,email,arxiv_id,published,title
Tiancheng su,,2601.09728v1,2025-12-28T12:51:36Z,Eliminating Agentic Workflow for Introduction Generation with Parametric Stage Tokens
Guoxiu He,,2601.09728v1,2025-12-28T12:51:36Z,Eliminating Agentic Workflow for Introduction Generation with Parametric Stage Tokens
Xiaotian Ren,,2512.22895v1,2025-12-28T11:56:39Z,SAMP-HDRL: Segmented Allocation with Momentum-Adjusted Utility for Multi-agent Portfolio Management via Hierarchical Deep Reinforcement Learning
Nuerxiati Abudurexiti,,2512.22895v1,2025-12-28T11:56:39Z,SAMP-HDRL: Segmented Allocation with Momentum-Adjusted Utility for Multi-agent Portfolio Management via Hierarchical Deep Reinforcement Learning
Zhengyong Jiang,,2512.22895v1,2025-12-28T11:56:39Z,SAMP-HDRL: Segmented Allocation with Momentum-Adjusted Utility for Multi-agent Portfolio Management via Hierarchical Deep Reinforcement Learning
Angelos Stefanidis,,2512.22895v1,2025-12-28T11:56:39Z,SAMP-HDRL: Segmented Allocation with Momentum-Adjusted Utility for Multi-agent Portfolio Management via Hierarchical Deep Reinforcement Learning
Hongbin Liu,,2512.22895v1,2025-12-28T11:56:39Z,SAMP-HDRL: Segmented Allocation with Momentum-Adjusted Utility for Multi-agent Portfolio Management via Hierarchical Deep Reinforcement Learning
Jionglong Su,,2512.22895v1,2025-12-28T11:56:39Z,SAMP-HDRL: Segmented Allocation with Momentum-Adjusted Utility for Multi-agent Portfolio Management via Hierarchical Deep Reinforcement Learning
Phil Cuvin,,2512.22894v2,2025-12-28T11:55:20Z,DECEPTICON: How Dark Patterns Manipulate Web Agents
Hao Zhu,,2512.22894v2,2025-12-28T11:55:20Z,DECEPTICON: How Dark Patterns Manipulate Web Agents
Diyi Yang,,2512.22894v2,2025-12-28T11:55:20Z,DECEPTICON: How Dark Patterns Manipulate Web Agents
Tao Li,,2512.22883v1,2025-12-28T11:17:36Z,Agentic AI for Cyber Resilience: A New Security Paradigm and Its System-Theoretic Foundations
Quanyan Zhu,,2512.22883v1,2025-12-28T11:17:36Z,Agentic AI for Cyber Resilience: A New Security Paradigm and Its System-Theoretic Foundations
Alexei Grinbaum,,2512.22879v1,2025-12-28T11:00:41Z,Agency under indefinite causality: operational eternalism in higher-order quantum theory
