author,email,arxiv_id,published,title
Jodie McVernon,,2401.01371v2,2023-12-29T01:17:58Z,A model-based assessment of social isolation practices for COVID-19 outbreak response in residential care facilities
Nicholas Geard,,2401.01371v2,2023-12-29T01:17:58Z,A model-based assessment of social isolation practices for COVID-19 outbreak response in residential care facilities
Abhay Singh Bhadoriya,,2312.17340v1,2023-12-28T19:47:37Z,Assisted Path Planning for a UGV-UAV Team Through a Stochastic Network
Sivakumar Rathinam,,2312.17340v1,2023-12-28T19:47:37Z,Assisted Path Planning for a UGV-UAV Team Through a Stochastic Network
Swaroop Darbha,,2312.17340v1,2023-12-28T19:47:37Z,Assisted Path Planning for a UGV-UAV Team Through a Stochastic Network
David W. Casbeer,,2312.17340v1,2023-12-28T19:47:37Z,Assisted Path Planning for a UGV-UAV Team Through a Stochastic Network
Satyanarayana G. Manyam,,2312.17340v1,2023-12-28T19:47:37Z,Assisted Path Planning for a UGV-UAV Team Through a Stochastic Network
Hnin Pann Phyu,,2312.17179v1,2023-12-28T18:12:41Z,Going Green in RAN Slicing
Razvan Stanica,,2312.17179v1,2023-12-28T18:12:41Z,Going Green in RAN Slicing
Diala Naboulsi,,2312.17179v1,2023-12-28T18:12:41Z,Going Green in RAN Slicing
Gwenael Poitau,,2312.17179v1,2023-12-28T18:12:41Z,Going Green in RAN Slicing
Gunshi Gupta,,2312.17168v1,2023-12-28T17:54:56Z,Can Active Sampling Reduce Causal Confusion in Offline Reinforcement Learning?
Tim G. J. Rudner,,2312.17168v1,2023-12-28T17:54:56Z,Can Active Sampling Reduce Causal Confusion in Offline Reinforcement Learning?
Rowan Thomas McAllister,,2312.17168v1,2023-12-28T17:54:56Z,Can Active Sampling Reduce Causal Confusion in Offline Reinforcement Learning?
Adrien Gaidon,,2312.17168v1,2023-12-28T17:54:56Z,Can Active Sampling Reduce Causal Confusion in Offline Reinforcement Learning?
Yarin Gal,,2312.17168v1,2023-12-28T17:54:56Z,Can Active Sampling Reduce Causal Confusion in Offline Reinforcement Learning?
Ziyu Wang,,2312.17116v1,2023-12-28T16:53:23Z,Generalizable Visual Reinforcement Learning with Segment Anything Model
Yanjie Ze,,2312.17116v1,2023-12-28T16:53:23Z,Generalizable Visual Reinforcement Learning with Segment Anything Model
Yifei Sun,,2312.17116v1,2023-12-28T16:53:23Z,Generalizable Visual Reinforcement Learning with Segment Anything Model
Zhecheng Yuan,,2312.17116v1,2023-12-28T16:53:23Z,Generalizable Visual Reinforcement Learning with Segment Anything Model
Huazhe Xu,,2312.17116v1,2023-12-28T16:53:23Z,Generalizable Visual Reinforcement Learning with Segment Anything Model
Mar Canet Sola,,2401.06361v1,2023-12-28T15:55:11Z,Visions Of Destruction: Exploring Human Impact on Nature by Navigating the Latent Space of a Diffusion Model via Gaze
Varvara Guljajeva,,2401.06361v1,2023-12-28T15:55:11Z,Visions Of Destruction: Exploring Human Impact on Nature by Navigating the Latent Space of a Diffusion Model via Gaze
Jiawen Kang,,2312.17081v1,2023-12-28T15:52:05Z,When Metaverses Meet Vehicle Road Cooperation: Multi-Agent DRL-Based Stackelberg Game for Vehicular Twins Migration
Junhong Zhang,,2312.17081v1,2023-12-28T15:52:05Z,When Metaverses Meet Vehicle Road Cooperation: Multi-Agent DRL-Based Stackelberg Game for Vehicular Twins Migration
Helin Yang,,2312.17081v1,2023-12-28T15:52:05Z,When Metaverses Meet Vehicle Road Cooperation: Multi-Agent DRL-Based Stackelberg Game for Vehicular Twins Migration
Dongdong Ye,,2312.17081v1,2023-12-28T15:52:05Z,When Metaverses Meet Vehicle Road Cooperation: Multi-Agent DRL-Based Stackelberg Game for Vehicular Twins Migration
M. Shamim Hossain,,2312.17081v1,2023-12-28T15:52:05Z,When Metaverses Meet Vehicle Road Cooperation: Multi-Agent DRL-Based Stackelberg Game for Vehicular Twins Migration
Bohan Lyu,,2312.17294v3,2023-12-28T15:47:30Z,Enhancing Open-Domain Task-Solving Capability of LLMs via Autonomous Tool Integration from GitHub
Xin Cong,,2312.17294v3,2023-12-28T15:47:30Z,Enhancing Open-Domain Task-Solving Capability of LLMs via Autonomous Tool Integration from GitHub
Heyang Yu,,2312.17294v3,2023-12-28T15:47:30Z,Enhancing Open-Domain Task-Solving Capability of LLMs via Autonomous Tool Integration from GitHub
Pan Yang,,2312.17294v3,2023-12-28T15:47:30Z,Enhancing Open-Domain Task-Solving Capability of LLMs via Autonomous Tool Integration from GitHub
Yujia Qin,,2312.17294v3,2023-12-28T15:47:30Z,Enhancing Open-Domain Task-Solving Capability of LLMs via Autonomous Tool Integration from GitHub
Yining Ye,,2312.17294v3,2023-12-28T15:47:30Z,Enhancing Open-Domain Task-Solving Capability of LLMs via Autonomous Tool Integration from GitHub
Yaxi Lu,,2312.17294v3,2023-12-28T15:47:30Z,Enhancing Open-Domain Task-Solving Capability of LLMs via Autonomous Tool Integration from GitHub
Zhong Zhang,,2312.17294v3,2023-12-28T15:47:30Z,Enhancing Open-Domain Task-Solving Capability of LLMs via Autonomous Tool Integration from GitHub
Yukun Yan,,2312.17294v3,2023-12-28T15:47:30Z,Enhancing Open-Domain Task-Solving Capability of LLMs via Autonomous Tool Integration from GitHub
Yankai Lin,,2312.17294v3,2023-12-28T15:47:30Z,Enhancing Open-Domain Task-Solving Capability of LLMs via Autonomous Tool Integration from GitHub
Zhiyuan Liu,,2312.17294v3,2023-12-28T15:47:30Z,Enhancing Open-Domain Task-Solving Capability of LLMs via Autonomous Tool Integration from GitHub
Maosong Sun,,2312.17294v3,2023-12-28T15:47:30Z,Enhancing Open-Domain Task-Solving Capability of LLMs via Autonomous Tool Integration from GitHub
Bruno Mazorra,,2312.17058v6,2023-12-28T15:11:53Z,On the optimality of Shapley mechanism for funding public excludable goods under Sybil strategies
Chen Qian,,2312.17025v3,2023-12-28T13:50:42Z,Experiential Co-Learning of Software-Developing Agents
Yufan Dang,,2312.17025v3,2023-12-28T13:50:42Z,Experiential Co-Learning of Software-Developing Agents
